,CGP(1+4),CGP-DeepNeuralCrossover(40+40),CGP-DeepNeuralCrossover-OnePoint(40+40),CGP-OnePoint(40+40),CGP-OnePointDiversity(40+40),CGP-OnePointVL(40+40),CGP-RealValue(40+40),CGP-Subgraph(40+40),CGP-TwoPoint(40+40),CGP-Uniform(40+40)
CGP(1+4),1.0,0.3683100032402167,0.3125218274148045,0.31583635531842746,0.325917929137599,0.28683286442630795,0.43801193504346203,0.26555732018637457,0.40225589012941776,0.3125218274148045
CGP-DeepNeuralCrossover(40+40),0.3683100032402167,1.0,0.9203757735227215,0.9752518435738073,0.9807502142665714,0.8280872985421532,0.8767338520233376,0.712262370771201,0.855044223388649,0.855044223388649
CGP-DeepNeuralCrossover-OnePoint(40+40),0.3125218274148045,0.9203757735227215,1.0,0.9477828419642976,0.9697546486398354,0.9642588904029561,0.8120076863024113,0.8442392855727232,0.7642678019983193,0.9697546486398354
CGP-OnePoint(40+40),0.31583635531842746,0.9752518435738073,0.9477828419642976,1.0,0.9587645823791571,0.9422954352478662,0.7748064908186353,0.7616391595362697,0.8740168589622329,0.9285888210895215
CGP-OnePointDiversity(40+40),0.325917929137599,0.9807502142665714,0.9697546486398354,0.9587645823791571,1.0,0.9807502142665714,0.7590146502526539,0.8120065793361567,0.7960057725786779,0.9642586760764305
CGP-OnePointVL(40+40),0.28683286442630795,0.8280872985421532,0.9642588904029561,0.9422954352478662,0.9807502142665714,1.0,0.6867360281793012,0.8334635772994906,0.7381152654468986,0.9752518435738073
CGP-RealValue(40+40),0.43801193504346203,0.8767338520233376,0.8120076863024113,0.7748064908186353,0.7590146502526539,0.6867360281793012,1.0,0.5648626219954609,0.9807502142665714,0.707130135998675
CGP-Subgraph(40+40),0.26555732018637457,0.712262370771201,0.8442392855727232,0.7616391595362697,0.8120065793361567,0.8334635772994906,0.5648626219954609,1.0,0.6416931196450413,0.8523399187463092
CGP-TwoPoint(40+40),0.40225589012941776,0.855044223388649,0.7642678019983193,0.8740168589622329,0.7960057725786779,0.7381152654468986,0.9807502142665714,0.6416931196450413,1.0,0.7563915142140663
CGP-Uniform(40+40),0.3125218274148045,0.855044223388649,0.9697546486398354,0.9285888210895215,0.9642586760764305,0.9752518435738073,0.707130135998675,0.8523399187463092,0.7563915142140663,1.0
